City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
238,Lethem,GY,76.57,overcast clouds,3.3803,-59.7968,Savannah Inn
239,Fallon,US,90.43,few clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
243,Golden Gate,US,91.98,broken clouds,26.1879,-81.6951,Quality Inn & Suites Golf Resort
245,Kahului,US,84.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
246,Cozumel,MX,89.94,few clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
247,Jacareacanga,BR,88.65,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
248,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
249,Praia,CV,77.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
251,Natal,BR,79.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
252,Bhadrak,IN,81.39,overcast clouds,21.0633,86.5054,Hotel bluevine
254,Sapele,NG,75.9,overcast clouds,5.8941,5.6767,Movig Hotel & Suites
256,Kupang,ID,75.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
257,Gao,ML,92.19,broken clouds,16.6362,1.637,
259,Naze,JP,79.72,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
263,Fare,PF,77.05,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
269,Hamilton,US,81.75,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
273,Celestun,MX,83.46,broken clouds,20.8667,-90.4,Posada Lilia
283,Pacific Grove,US,84.81,scattered clouds,36.6177,-121.9166,Lovers Point Inn
285,Balkanabat,TM,88.09,broken clouds,39.5108,54.3671,Nebitchi Hotel
287,Gilbues,BR,77.05,broken clouds,-9.8317,-45.3439,Hotel Camapuã
289,Yazd,IR,83.57,few clouds,31.8972,54.3675,Mozaffar Traditional Hotel
290,Lixourion,GR,83.03,clear sky,38.2019,20.4314,Hotel Summery
292,Tra Vinh,VN,78.15,broken clouds,9.9347,106.3453,Hồng Ân
295,Aloleng,PH,82.13,light rain,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
297,Eyl,SO,82.26,scattered clouds,7.9803,49.8164,Amiin Hotel
300,San Quintin,MX,78.31,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
302,Nabire,ID,75.56,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
305,Makakilo City,US,82.69,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
310,Vung Tau,VN,80.29,overcast clouds,10.346,107.0843,Green hotel
311,Outlook,CA,93.31,overcast clouds,51.5001,-107.0513,Red Wheel Motel
313,Huntsville,US,86.13,few clouds,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
322,Mahuva,IN,80.76,overcast clouds,21.0914,71.7622,Hotel Blue Diamond.
323,Gazanjyk,TM,84.18,broken clouds,39.2446,55.5154,Railway motel
326,Berbera,SO,91.35,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
327,Beckley,US,78.69,scattered clouds,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
330,Iztapa,GT,87.03,light rain,13.9333,-90.7075,Villas de Puerto Viejo
331,Hobyo,SO,77.4,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
332,Olinda,BR,75.2,clear sky,-8.0089,-34.8553,Hotel Albergue de Olinda
333,Mangan,IN,76.89,overcast clouds,27.5167,88.5333,Hotel Mout View
336,Itarema,BR,78.58,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
337,Labuhan,ID,76.37,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
339,Mount Pleasant,US,95.0,clear sky,32.7941,-79.8626,Best Western Patriots Point
340,Prince George,CA,76.44,haze,53.9166,-122.753,Canadas Best Value Inn Prince George
343,Matay,EG,88.97,clear sky,28.419,30.7792,Nag Aespen
345,Bang Saphan,TH,79.43,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
346,Lengshuijiang,CN,79.02,clear sky,27.6881,111.4294,Sheraton
350,Sarangani,PH,83.19,moderate rain,5.4033,125.4636,Ballistic Islet
354,Huangmei,CN,79.52,light rain,30.1924,116.025,Tianxiachan Hotel
355,Fortuna,US,86.41,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
359,Warburton,PK,90.91,broken clouds,31.55,73.8333,Javed Paul Hardware Store
363,Yining,CN,76.66,clear sky,29.0361,114.5636,Xiushui Hotel
365,Tezu,IN,75.13,scattered clouds,27.9167,96.1667,Circuit House
366,Plainview,US,75.79,scattered clouds,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
368,Itaituba,BR,82.69,overcast clouds,-4.2761,-55.9836,Hotel Campos
369,Ouallam,NE,87.53,scattered clouds,14.3188,2.0866,
371,Galle,LK,78.64,overcast clouds,6.0367,80.217,Amangalla
